timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
200614,244.98,4.984697,6.773092e+07,-4,0,-1,1405,15.805,0,2,3,-2045,462,-4151,808,833,914,973
229733,244.908,4.352879,6.793154e+07,-29,0,-1,1255,16.044,-29,4,-4,-1785,372,-5395,441,573,706,663
170974,244.908,5.848843,6.816127e+07,-45,0,0,1210,16.018,-29,-8,1,-1856,2493,-3858,362,265,723,708
199629,239.544,5.009292,6.833224e+07,-47,1,0,1205,16.035,-33,0,1,-1605,2641,-3271,320,258,704,735
201385,227.7,4.965613,6.853187e+07,-47,1,0,1195,16.035,-31,-1,5,-1657,2894,-2535,348,245,627,721
199413,211.968,5.014718,6.873326e+07,-48,0,3,1187,16.089,-29,0,2,-1484,2781,-1736,322,197,660,702
230334,192.96,4.341521,6.893267e+07,-51,1,3,1186,16.026,-32,0,4,-1601,2939,-1029,396,107,670,789
160836,174.312,6.217513,6.916300e+07,-52,1,1,1186,15.973,-26,4,2,-1631,2645,-603,445,140,565,767
200470,174.312,4.988278,6.932384e+07,-52,1,0,1186,16.026,-28,4,1,-1615,2688,-250,459,139,566,818
209729,161.172,4.768058,6.952431e+07,-54,0,1,1207,15.964,-31,1,-1,-1673,2516,27,509,180,573,794
191058,144.612,5.234013,6.973404e+07,-54,0,9,1218,16.071,-28,7,0,-1723,2278,92,460,439,537,685
239395,144.612,4.177197,6.99251e+07,-58,-16,17,1221,16.044,-43,-14,9,-1638,2248,315,463,430,601,651
160722,124.344,6.221924,7.016449e+07,-58,-16,25,1226,16.035,-33,-9,14,-1631,2490,675,473,476,598,639
199440,124.344,5.014039,7.032522e+07,-58,-13,26,1227,16.097,-32,-7,14,-1636,2505,876,476,487,588,640
201449,116.172,4.964036,7.052466e+07,-58,-13,27,1227,16.08,-37,-7,13,-1783,2281,975,458,488,609,636
199695,109.044,5.007637,7.07261e+07,-58,-12,27,1227,16.097,-30,-9,14,-1642,2413,1185,510,499,579,603
240543,103.356,4.157261,7.09258e+07,-57,-10,27,1227,16,-35,-6,14,-1673,2370,1314,494,503,591,602
199828,129.132,5.004304,8.07262e+07,100,-17,-52,1287,15.956,62,-10,-30,-1652,-2269,2508,628,722,677,631
229508,129.132,4.357147,8.092603e+07,125,-30,-75,1330,15.885,76,-22,-43,-1593,-2639,3517,628,869,850,644
170718,148.032,5.857613,8.115554e+07,131,-39,-89,1392,15.867,96,-17,-61,-1507,-2733,4937,636,1189,1005,657
200035,163.296,4.999125,8.132625e+07,131,-40,-101,1434,15.557,85,-12,-49,-1216,-2862,6063,774,1099,1015,918
199707,185.292,5.007336,8.152629e+07,136,-38,-108,1456,15.592,73,-30,-69,-899,-2931,6378,703,1146,1225,894
200218,203.292,4.994556,8.1726e+07,146,-15,-108,1449,15.574,79,-13,-62,-438,-2801,5921,769,1087,1093,939
240293,214.056,4.161586,8.192621e+07,154,8,-106,1366,15.787,101,2,-55,-219,-2409,4707,682,949,928,708
159854,226.62,6.255708,8.216651e+07,153,4,-101,1392,15.893,110,-6,-47,-30,-2134,5207,878,934,875,785
200721,226.62,4.98204,8.232636e+07,153,1,-104,1407,15.654,106,2,-54,31,-1957,5760,928,1014,849,797
200024,232.812,4.9994,8.252708e+07,153,1,-102,1380,15.761,102,4,-67,51,-1676,5282,732,979,939,725
