timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
89692,184.32,11.14927,8.002954e+07,92,0,-65,1433,1.595,58,-1,-36,-208,-8753,9365,912,931,878,854
199829,202.464,5.004279,8.013989e+07,95,15,-67,1442,1.595,58,8,-30,-420,-8450,8331,841,965,978,865
199848,213.66,5.003803,8.033972e+07,95,17,-50,1454,1.586,61,12,-27,-133,-8668,8982,898,976,922,951
200031,222.192,4.999225,8.053957e+07,93,42,-41,1477,1.586,61,26,-22,-145,-8935,10634,966,1003,994,970
289707,227.304,3.451763,8.07396e+07,76,1,-33,1490,1.586,52,-2,-15,162,-9446,10224,1009,1058,1042,930
110209,230.256,9.073669,8.10293e+07,77,-13,-54,1512,1.569,45,-10,-31,-450,-9379,9784,1013,1045,1072,1088
191655,231.732,5.217709,8.113951e+07,77,-3,-61,1484,1.586,52,-3,-31,-727,-9521,8914,980,1046,1015,950
208140,233.172,4.804459,8.133117e+07,79,-1,-69,1481,1.595,52,-1,-38,-510,-9355,8856,989,1019,991,968
179657,233.748,5.566162,8.153931e+07,90,-1,-73,1516,1.569,55,-1,-42,-119,-10348,9575,1054,1065,1062,1070
289705,228.996,3.451787,8.173929e+07,93,0,-65,1531,1.56,54,0,-33,382,-9854,10503,1046,1131,1128,1067
110415,203.364,9.05674,8.202899e+07,100,19,-51,1521,1.569,65,15,-25,442,-11223,8985,983,1131,1097,1080
199978,171,5.00055,8.213941e+07,98,22,-37,1497,1.577,65,9,-17,1165,-11328,11075,1011,1058,1081,946
200266,137.988,4.993359,8.233939e+07,88,37,-22,1447,1.595,62,24,-15,1992,-11229,6604,922,941,929,898
199962,113.472,5.00095,8.253965e+07,84,42,-1,1402,1.595,58,28,5,285,-9984,6393,763,909,928,723
179587,95.148,5.568332,8.273962e+07,83,44,0,1393,1.604,52,29,4,2086,-10305,6880,733,894,912,712
110142,72.648,9.079189,8.29192e+07,31,52,13,1340,1.613,16,33,8,754,-8688,5621,678,791,763,588
200188,64.692,4.995304,8.433958e+07,-3,-3,7,1721,1.489,-2,-2,4,-3212,-2415,10270,1503,1461,1466,1488
199903,78.192,5.002426,8.453977e+07,-3,-8,7,1784,1.471,-8,-8,4,-4330,-1464,10676,1609,1542,1642,1638
183540,97.812,5.448404,8.473967e+07,-3,-4,16,1863,1.436,-5,0,8,-4621,-516,6264,1789,1693,1775,1815
110215,120.888,9.073175,8.492321e+07,-3,-3,14,1928,1.391,-8,-1,9,-4442,1579,5697,1911,1819,1913,1957
110452,120.888,9.053707,8.503342e+07,-3,-3,17,1966,1.382,-4,-4,9,-4994,2347,8706,1974,1871,1982,2034
199988,131.112,5.0003,8.514388e+07,-3,-3,23,1998,1.391,8,-9,14,-5425,3056,6022,1972,1859,1972,2034
200051,131.148,4.998725,8.534386e+07,-3,-3,18,2000,1.4,-2,-3,4,-5795,3188,-2241,1949,1849,1974,2038
196310,132.372,5.093984,8.554392e+07,-3,-3,14,2000,1.4,-1,0,3,-5302,2588,2578,1945,1836,1952,2042
293781,139.176,3.403896,8.574023e+07,-3,-3,12,2000,1.4,-7,-2,-2,-4137,1921,-3480,1942,1806,1937,2037
98087,166.104,10.19503,8.603401e+07,-3,-3,7,2000,1.409,-13,-6,3,-5269,2555,-2505,1922,1803,1944,2041
191884,190.404,5.211482,8.614024e+07,-3,-3,5,2000,1.409,-2,2,7,-4501,2550,-2162,1930,1825,1950,2044
183655,206.208,5.444992,8.634052e+07,-3,-3,3,2000,1.4,0,0,-3,-4561,2424,-4621,1943,1819,1933,2043
187779,217.224,5.325409,8.654464e+07,-2,-12,-26,1652,1.515,-3,-5,-7,-4766,2576,-5733,1256,1291,1401,1409
188070,223.884,5.317169,8.674466e+07,-2,-12,-26,1312,1.604,-24,-3,-7,-4348,1875,-15631,392,593,789,818
101929,227.124,9.810751,8.693273e+07,-2,-12,-13,1276,1.595,-27,21,15,-3076,4844,-11146,115,777,902,855
89718,227.124,11.14604,8.703466e+07,-2,-12,-5,1268,1.604,-4,-2,13,-2656,5250,-8885,116,770,935,836
200013,230.796,4.999675,8.714478e+07,-2,-10,-4,1257,1.604,3,-8,7,-3292,4455,-8013,116,732,801,708
200295,233.352,4.992636,8.734479e+07,-2,-10,-5,1257,1.595,0,-7,3,-3757,2969,-6766,116,729,857,715
187835,232.2,5.323821,8.754508e+07,-119,-3,-17,1230,1.604,-88,-3,1,-3610,4777,-4637,116,800,1000,738
179931,210.06,5.557686,8.774513e+07,-144,0,-19,1221,1.604,-95,12,-5,-3359,11261,204,116,846,922,805
110198,172.512,9.074575,8.792506e+07,-144,12,-5,1224,1.586,-103,6,6,-2458,14282,3732,116,956,1104,908
98218,172.512,10.18143,8.803526e+07,-133,25,-3,1226,1.577,-85,17,7,-2660,14633,4523,116,973,1015,823
204175,136.512,4.897759,8.814161e+07,-131,33,7,1227,1.595,-76,23,6,-2214,13710,2661,116,892,923,789
199874,101.088,5.003152,8.834578e+07,-152,19,16,1230,1.604,-65,-11,4,-1804,11111,2927,116,768,666,425
200216,96.48,4.994606,8.854566e+07,-158,5,16,1250,1.586,-107,6,15,-1680,9786,4867,116,926,796,448
289622,89.208,3.452776,8.874587e+07,-143,0,17,1268,1.569,-90,-1,19,-1076,9347,6398,116,1055,921,443
89627,88.38,11.15735,8.90355e+07,-140,0,30,1282,1.604,-88,-5,4,-1761,6539,6119,353,872,688,435
200274,98.208,4.993159,8.914556e+07,-137,0,29,1286,1.595,-94,-1,7,-860,5560,6756,359,858,699,464
199933,112.68,5.001676,8.934583e+07,-112,0,29,1307,1.604,-75,-7,3,-1553,3608,7131,552,700,771,529
199825,123.264,5.004379,8.954576e+07,-64,0,32,1315,1.604,-37,-1,9,-1677,2867,7248,593,737,724,563
289841,132.516,3.450168,8.974559e+07,3,0,30,1355,1.595,-6,-9,10,-2031,2650,7573,665,730,877,669
97797,135.36,10.22526,9.003543e+07,22,0,10,1396,1.586,21,3,5,-3147,3129,8537,729,877,940,729
199895,134.82,5.002626,9.014541e+07,22,0,7,1403,1.586,13,1,6,-2705,3151,8858,702,905,982,743
200279,227.52,4.993035,9.034531e+07,-1,-48,-1,1405,1.586,-1,-29,-8,-4134,2417,9071,768,828,907,845
199753,191.844,5.006183,9.054559e+07,7,-51,-3,1405,1.595,3,-30,1,-3865,1929,8454,722,860,954,812
289626,152.532,3.452729,9.074534e+07,37,-5,-3,1443,1.586,27,2,3,-4794,924,6400,834,993,975,856
110419,134.82,9.056412,9.103496e+07,40,-1,-5,1426,1.595,28,0,-1,-4047,-59,10304,855,888,925,851
212036,106.092,4.71618,9.114538e+07,35,-1,-15,1415,1.595,26,1,-17,-4307,-406,6129,915,800,821,893
179598,135.684,5.567991,9.135742e+07,32,0,-7,1406,1.595,20,0,-9,-4057,-1160,6306,882,784,797,894
199939,72.972,5.001525,9.154513e+07,48,0,-15,1406,1.595,32,-1,-16,-3473,-2302,5861,924,757,766,909
289925,137.376,3.449168,9.174507e+07,47,4,-5,1383,1.604,31,4,-4,-4068,-3238,4916,874,769,710,817
110103,136.656,9.082405,9.203499e+07,39,0,-3,1378,1.604,25,2,-3,-3363,-3929,4277,907,774,647,801
400172,149.724,2.498925,9.21451e+07,39,0,-3,1378,1.604,26,-2,-3,-3849,-4280,4505,921,751,667,790
192132,153.9,5.204755,9.254527e+07,86,0,-15,1378,1.604,58,0,-2,-4006,-4756,4005,860,827,686,756
289636,145.512,3.452609,9.27496e+07,91,0,-23,1378,1.613,59,-1,-18,-3222,-6433,4735,936,747,619,827
118672,147.348,8.426588,9.303924e+07,88,-43,-67,1403,1.595,56,-26,-38,-2546,-7890,6267,927,853,667,885
400091,148.32,2.499431,9.315791e+07,69,-50,-69,1418,1.586,43,-30,-34,-3444,-8222,6412,892,882,738,942
199849,147.6,5.003778,9.3558e+07,79,-7,-65,1470,1.577,48,-3,-41,-3056,-8517,9354,1148,910,728,1090
179635,144.72,5.566844,9.375785e+07,79,-1,-65,1473,1.569,50,-6,-30,-2808,-8635,7727,1091,975,837,998
110178,132.768,9.076222,9.393749e+07,91,-1,-63,1478,1.586,63,-1,-28,-2685,-9368,7949,1061,1018,867,996
93964,141.372,10.64237,9.404766e+07,95,-1,-76,1426,1.577,63,2,-38,-2178,-9092,8150,892,859,807,961
187816,138.6,5.32436,9.416196e+07,101,-12,-82,1403,1.586,65,-4,-41,-1966,-9017,8251,880,856,746,850
191709,136.728,5.216239,9.434978e+07,88,-38,-89,1393,1.595,55,-27,-51,-2061,-8030,7229,898,778,707,868
199795,137.448,5.00513,9.456215e+07,160,8,-106,1375,1.586,101,5,-52,-418,-7588,7329,729,793,808,774
179697,139.824,5.564923,9.476194e+07,224,31,-118,1340,1.604,166,20,-57,307,-7779,7213,577,748,804,690
110040,146.16,9.087605,9.494164e+07,164,10,-105,1284,1.604,111,3,-41,461,-6270,6576,396,692,851,425
110427,142.38,9.055756,9.505168e+07,140,5,-92,1273,1.604,97,-3,-35,456,-4950,6378,401,754,792,328
200143,145.404,4.996428,9.516210e+07,138,0,-86,1282,1.604,97,4,-42,527,-3772,6340,438,736,756,419
200199,141.588,4.99503,9.536225e+07,138,-12,-93,1326,1.595,96,-3,-45,191,-2822,8116,470,868,865,503
179611,135.036,5.567588,9.556245e+07,120,-4,-96,1355,1.595,74,6,-52,527,-2093,8698,561,939,869,572
