timens,GPSnumSat,GPScoord0,GPScoord1,GPSaltitude,GPSspeedms,GPSgroundcourse,loopIteration,axisP0,axisP1,axisP2,axisI0,axisI1,axisI2,axisD0,axisD1,axisD2,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,rssi,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3,flightModeFlagsflags,stateFlagsflags,failsafePhaseflags,rxSignalReceived,rxFlightChannelsValid,acceleration_G
0D00:02:36.108600000,16,1.328873,103.7857,49,23.42,46.3,75864,-7,-4,37,-17,-5,12,-11,0,0,59,14,0,1403,1.657,1023,45,14,-13,-4298,-4559,2996,1004,825,616,887,,,,1,1,0.4771688
0D00:02:36.308523000,16,1.328902,103.7858,49,23.75,47.5,76256,5,-1,11,-22,-9,24,3,4,0,3,27,0,1392,1.657,1023,-3,19,-4,-2825,-4680,2257,907,776,684,875,,,,1,1,0.4840134
0D00:02:36.488160000,15,1.328902,103.7858,49,24.33,48.6,76608,4,0,3,-12,-6,23,0,-1,0,3,23,0,1389,1.657,1023,-3,14,-1,-2915,-3433,1427,865,778,708,866,,,,1,1,0.4455217
0D00:02:36.586143000,15,1.32893,103.7858,49,24.33,48.6,76800,3,3,-2,-9,-6,21,0,1,0,3,0,0,1389,1.657,1023,-2,-4,1,-2884,-2966,1355,860,782,743,834,,,,1,1,0.2430098
0D00:02:36.688166000,16,1.32893,103.7858,49,24.43,51.8,77000,2,0,-5,-6,-5,19,-2,-1,0,1,0,0,1389,1.657,1023,-2,0,2,-3058,-2457,1296,837,805,743,834,,,,1,1,0.2540695
0D00:02:36.708807000,16,1.328956,103.7858,49,24.43,51.8,77040,1,0,-9,-6,-5,18,1,-2,0,1,0,0,1389,1.657,1023,-1,0,3,-3329,-2410,1212,818,807,759,834,,,,1,1,0.05140261
0D00:02:36.908732000,16,1.328979,103.7859,49,24.78,56.5,77432,-2,0,-6,-2,-3,15,-1,-2,0,22,0,0,1386,1.657,1023,16,0,2,-2987,-1906,1129,824,803,751,816,,,,1,1,0.5050093
0D00:02:37.108698000,16,1.328997,103.7859,49,24.24,61.2,77824,-2,1,-8,-4,-2,15,-5,2,0,39,0,0,1443,1.657,1023,27,-1,3,-3522,-2861,2217,958,926,873,900,,,,1,1,0.4941056
0D00:02:37.308542000,16,1.329008,103.7859,48,23.39,69.6,78216,3,2,6,-5,1,15,8,-10,0,30,0,0,1536,1.639,1023,16,-2,-2,-4147,-3736,5803,1123,1054,1054,1182,,,,1,1,0.4764884
0D00:02:37.586539000,16,1.329012,103.786,47,22.46,79.5,78760,0,-3,1,-2,5,14,-6,0,0,11,4,0,1664,1.569,1023,7,7,0,-4828,-3671,8109,1421,1346,1309,1379,,,,1,1,0.6364743
0D00:02:37.708869000,16,1.329009,103.786,46,21.4,88.4,79000,0,1,0,-1,5,13,5,2,0,3,5,0,1713,1.56,1023,2,1,0,-4686,-3106,11173,1503,1406,1466,1478,,,,1,1,0.2668565
0D00:02:37.908731000,16,1.328999,103.7861,45,19.21,102.3,79392,0,0,0,0,5,9,0,0,0,0,3,0,1865,1.506,1023,0,4,1,-4480,-2706,10630,1798,1741,1766,1784,,,,1,1,0.391371
0D00:02:38.108505000,16,1.328985,103.7861,44,17.27,112.8,79784,0,0,0,6,6,6,0,0,0,1,1,0,1978,1.427,1023,-3,0,1,-2962,-1385,13478,2015,1958,2018,2016,,,,1,1,0.3516918
0D00:02:38.308611000,16,1.32897,103.7861,42,15.24,123.8,80176,0,1,0,10,3,10,-1,0,0,1,0,-1,2000,1.418,1023,1,-9,-1,-4555,-286,10156,2016,1940,2013,2032,,,,1,1,0.310868
0D00:02:38.500603000,17,1.32897,103.7861,42,13,133.2,80552,-1,1,0,10,1,13,0,0,0,4,0,-3,2000,1.427,1023,12,-10,-1,-4709,-500,1300,2015,1939,1995,2038,,,,1,1,0.2544236
0D00:02:38.586397000,17,1.328953,103.7861,41,13,133.2,80720,1,-1,-2,8,3,10,0,0,0,4,0,-3,2000,1.444,1023,-9,12,4,-4659,-1009,-2230,1997,1948,2010,2043,,,,1,1,0.1136924
0D00:02:38.708766000,17,1.328936,103.7861,39,11.44,147.5,80960,-1,1,0,10,4,10,0,-1,0,4,0,-3,2000,1.436,1023,15,-8,-1,-4436,361,-1673,2009,1941,2008,2037,,,,1,1,0.1427015
0D00:02:38.908955000,17,1.328923,103.7861,38,8.85,159.5,81352,0,-1,0,8,2,10,0,0,0,4,0,-1,2000,1.427,1023,-2,7,-2,-4560,-183,4420,2004,1940,1996,2042,,,,1,1,0.1805986
